"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","RCAN2",-2.50095243291977,6.78293121570201e-10,3.31708269097574e-08,"pseudobulk","edgeR","LRT"
"GluN","NAGPA",-2.50043030580466,4.53186228210916e-11,2.89316715256389e-09,"pseudobulk","edgeR","LRT"
"GluN","PROM1",-2.49638889139681,1.68800061910954e-08,5.70718191778978e-07,"pseudobulk","edgeR","LRT"
"GluN","PCED1B",-2.49560566845652,6.86927914577829e-10,3.35149086171003e-08,"pseudobulk","edgeR","LRT"
"GluN","SYNE1",-2.49524990893469,5.28281469543075e-15,6.83828064397417e-13,"pseudobulk","edgeR","LRT"
"GluN","RIMS1",-2.49164717811706,4.74606129813107e-19,1.24021017057518e-16,"pseudobulk","edgeR","LRT"
"GluN","PCDH11X",-2.4849694194105,3.1656015194802e-09,1.32085687216741e-07,"pseudobulk","edgeR","LRT"
"GluN","MARCH11",-2.47911001149063,1.77035160286102e-14,2.14916502654407e-12,"pseudobulk","edgeR","LRT"
"GluN","STARD13",-2.4789975374297,1.83321450981154e-13,1.85944636217233e-11,"pseudobulk","edgeR","LRT"
"GluN","AC128687.3",-2.47797676465188,1.54309068247666e-11,1.09887300679372e-09,"pseudobulk","edgeR","LRT"
"GluN","SILC1",-2.47671956438232,2.68694281144649e-10,1.43342355693689e-08,"pseudobulk","edgeR","LRT"
"GluN","SORL1",-2.47549546728149,1.56757363617176e-20,5.25000951100514e-18,"pseudobulk","edgeR","LRT"
"GluN","XYLT1",-2.47320706001348,2.18589517444187e-20,7.0210497608245e-18,"pseudobulk","edgeR","LRT"
