Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
UBXN10,0.705395163,0.192508488,0.732516269,1.672389932,1.958128171,2.077143255
VWA5B1,1.175658605,4.04267825,2.930065076,0.91221269,5.091133245,3.635000696
AL020998.1,0.352697582,1.155050929,0.732516269,0.152035448,0.870279187,0.467357232
LINC01141,1.528356187,1.925084881,2.197548807,12.84699539,19.92939339,20.04443241
AL139254.3,0,0,0,0.152035448,0,0.259642907
CAMK2N1,33.03600681,104.1470921,38.09084599,253.7471634,319.3054338,191.7203224
MUL1,8.229610238,12.32054324,8.790195229,8.171905351,10.44335025,11.52814507
FAM43B,1.763487908,7.315322547,1.465032538,2.926682382,6.875205579,3.167643464
CDA,0.822961024,0.577525464,2.197548807,0.494115207,0.261083756,0.519285814
PINK1,26.56988448,41.38932494,21.2429718,30.44509854,40.77257992,32.71500627
PINK1-AS,11.28632261,6.545288595,7.325162691,12.27686246,10.57389213,14.54000279
DDOST,25.15909416,31.37888356,13.18529284,26.3781503,24.58538704,25.08150481
KIF17,4.820200282,7.700339523,8.790195229,36.22244558,25.45566623,34.48057804
SH2D5,0.235131721,2.117593369,0,3.26876214,2.480295684,4.829358068
HP1BP3,128.969749,137.258552,138.4455749,102.8899897,102.6059162,86.92844523
EIF4G3,408.3062336,467.0255921,413.8716921,571.8433303,580.6937877,536.8376743
AL031005.2,0.117565861,0,0.732516269,0.608141794,0.565681472,0.623142977
ECE1,20.22132801,27.91373077,27.10310196,54.54271711,46.34236672,50.68229543
AL031728.1,0.235131721,0.385016976,0,0.608141794,0.739737309,0.934714465
NBPF3,14.81329843,10.39545836,8.05767896,18.24425381,21.88752156,15.21507434
ALPL,4.232370979,4.812712202,4.395097615,1.596372208,1.087848984,2.544500488
LINC02596,1.293224466,9.240407428,1.465032538,1.900443105,1.044335025,1.298214534
RAP1GAP,15.51869359,24.83359496,20.51045554,110.8718507,76.2364568,119.955023
