Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL139254.3,0,0,0,0.210547458,0,0.372397635
CAMK2N1,11.50565535,32.97819842,9.324990488,93.53463707,125.3168179,62.17089161
MUL1,3.195317953,4.855704863,2.86970896,3.350953549,3.932993088,4.199634567
FAM43B,0.742784159,2.123696952,0.622134126,1.217356501,2.548240331,1.038126862
CDA,1.33048948,1.247215547,2.135892672,0.490335928,0.252379183,0.420877449
PINK1,5.367595326,8.399787535,4.852877888,5.882288489,8.178693919,5.855534789
PINK1-AS,2.530581874,2.020522248,1.688205688,2.390169363,2.09605939,2.648084124
DDOST,9.611807192,12.02753986,7.961944959,9.639658573,8.442320204,8.9130794
KIF17,1.064424656,2.376933035,1.780222187,5.407568384,4.153569329,4.843043733
SH2D5,0.027016353,0.22792885,0.050913227,0.527111605,0.401923231,0.699231128
HP1BP3,18.00648489,24.75887052,18.61551042,18.99277256,16.67541851,16.39510521
EIF4G3,48.85340028,52.07786324,55.98506939,71.39814362,69.30816606,64.42300562
AL031005.2,0.136388811,0.230134282,0.308435172,0.447058013,0.425770205,0.480077869
ECE1,3.73636288,7.001128383,6.220728318,7.550484975,6.104639808,7.345617229
