Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
LINC01338,7.061203334,9.999897097,7.995667784,2.980088714,3.074699538,2.133466048
AC104118.1,0.606111874,1.136351943,0.266522259,0.402075461,0.532159535,0.282370506
TMEM167A,63.76296916,76.47648575,52.65718355,26.79714692,42.89797143,26.13495909
XRCC4,50.61034149,32.10194238,55.01780928,37.4166694,47.21437655,44.363544
VCAN,254.6579039,376.0472667,253.7672656,132.9214172,147.319498,137.3575641
VCAN-AS1,114.7672834,41.30639312,130.1390118,54.54035376,41.03541306,65.85507698
HAPLN1,4.485227869,18.38049267,3.04596868,19.89090959,15.5508842,15.68725035
EDIL3,84.46168966,113.4931503,48.77357348,103.2624391,137.0310804,73.19671015
AC113383.1,4.212477525,7.585149218,6.701131095,8.892963145,10.52493303,7.52988017
COX7C,197.9258325,202.7251866,135.9644269,87.86531405,121.2732452,58.26244781
AC008539.1,0.181833562,0.255679187,0,0,0,0.250996006
AC109492.1,15.8801311,12.52828017,11.57468098,11.82574886,7.391104658,18.10308691
LINC01949,13.45568361,6.534023671,9.556726733,6.906237336,5.61723954,13.08316679
RASA1,301.5406574,231.5885259,262.1817541,337.1757516,347.0567103,393.8127329
CCNH,271.3259805,181.0492733,249.845581,345.5010788,406.7472715,363.2853437
AC018754.1,4.848894993,6.193118088,9.747099775,4.493784568,8.071086286,9.349601211
LINC02488,6.152035522,38.15301648,8.87138378,7.190055309,9.93364466,23.59362453
LINC02144,16.8499101,49.31767432,29.1270755,21.12078747,19.54208072,58.01145181
AC020930.1,4.273088713,11.73283381,3.883610067,8.443584688,7.598055588,17.06772838
AC114971.1,27.66900705,43.86318499,110.2259916,117.3587317,142.1161604,175.2579609
TMEM161B,50.00422962,48.52222796,46.07027628,38.14986583,51.08731539,43.98704999
TMEM161B-AS1,350.5144968,320.6501095,309.356194,404.0385357,452.4834271,366.3286703
LINC02060,71.12722843,47.86882559,40.51138344,33.37226329,37.25116748,30.8725087
AC091826.2,99.85693126,64.09024957,117.0032719,67.07564755,101.0807473,86.81324346
LINC00461,428.3392614,284.7982057,458.9894054,640.4352554,651.1563204,532.7076475
MEF2C-AS2,132.0111662,60.28347057,70.70454798,200.5883522,168.2511064,146.1424243
AC008525.1,2.848725808,3.295420634,1.332611297,5.132375007,3.518165817,5.647410127
MEF2C,250.1423705,206.333104,99.18435513,832.3198565,725.9838639,405.6722941
MEF2C-AS1,42.21569203,51.95969259,25.35768926,142.9733038,147.4968846,96.25696817
LINC02161,0.545500687,1.164760741,2.094103467,1.442741361,0.620852791,1.380478031
