"Gene"
"ENSG00000100629.16|CEP128"
"ENSG00000008118.9|CAMK1G"
"ENSG00000169291.9|SHE"
"ENSG00000278834.1|RP11-458J1.1"
"ENSG00000139636.15|LMBR1L"
"ENSG00000135953.10|MFSD9"
"ENSG00000156304.14|SCAF4"
"ENSG00000076650.6|GPATCH1"
"ENSG00000259956.1|RBM15B"
"ENSG00000172602.9|RND1"
"ENSG00000124140.13|SLC12A5"
"ENSG00000196935.8|SRGAP1"
"ENSG00000166159.10|LRTM2"
"ENSG00000083312.17|TNPO1"
"ENSG00000182600.9|C2orf82"
"ENSG00000229315.6|MCHR2-AS1"
"ENSG00000163121.9|NEURL3"
"ENSG00000085872.14|CHERP"
"ENSG00000126088.13|UROD"
"ENSG00000129625.12|REEP5"
"ENSG00000135678.11|CPM"
"ENSG00000261949.5|GFY"
"ENSG00000258890.6|CEP95"
"ENSG00000258498.7|DIO3OS"
"ENSG00000153896.17|ZNF599"
"ENSG00000145431.10|PDGFC"
"ENSG00000177084.16|POLE"
"ENSG00000196277.15|GRM7"
"ENSG00000170248.13|PDCD6IP"
"ENSG00000151689.12|INPP1"
"ENSG00000082497.11|SERTAD4"
"ENSG00000110321.15|EIF4G2"
"ENSG00000197753.8|LHFPL5"
"ENSG00000171729.13|TMEM51"
"ENSG00000197798.8|FAM118B"
"ENSG00000040731.10|CDH10"
"ENSG00000134910.12|STT3A"
"ENSG00000101782.14|RIOK3"
"ENSG00000256925.2|ADGRA1-AS1"
"ENSG00000177125.5|ZBTB34"
"ENSG00000158636.16|EMSY"
"ENSG00000160781.15|PAQR6"
"ENSG00000250602.5|RP11-517I3.1"
"ENSG00000118705.16|RPN2"
"ENSG00000197406.7|DIO3"
"ENSG00000214960.9|ISPD"
"ENSG00000088881.20|EBF4"
"ENSG00000114023.15|FAM162A"
"ENSG00000156650.12|KAT6B"
"ENSG00000130559.18|CAMSAP1"
"ENSG00000105327.16|BBC3"
"ENSG00000114742.13|WDR48"
